ts,counter_name,generation_tokens_total,decode_tokens_delta,decode_tok_s,telemetry_ts,gpu_util_pct,vram_used_mib,power_w,temp_c,cpu_util_pct,ram_used_gib
2026-06-12T20:25:10+05:30,vllm:generation_tokens_total,40913,760,760.000,2026-06-12T20:25:10+05:30,100.000,22217.000,375.020,70.000,53.600,29.238
2026-06-12T20:25:11+05:30,vllm:generation_tokens_total,41633,720,720.000,2026-06-12T20:25:11+05:30,100.000,22217.000,374.340,71.000,54.400,29.279
2026-06-12T20:25:12+05:30,vllm:generation_tokens_total,42449,816,816.000,2026-06-12T20:25:12+05:30,26.000,22217.000,333.600,70.000,54.800,29.300
2026-06-12T20:25:13+05:30,vllm:generation_tokens_total,43265,816,816.000,2026-06-12T20:25:13+05:30,100.000,22217.000,372.930,71.000,54.000,29.360
2026-06-12T20:25:14+05:30,vllm:generation_tokens_total,44049,784,784.000,2026-06-12T20:25:14+05:30,100.000,22217.000,378.990,71.000,60.500,29.342
2026-06-12T20:25:15+05:30,vllm:generation_tokens_total,44801,752,752.000,2026-06-12T20:25:15+05:30,100.000,22217.000,377.350,71.000,53.400,29.266
2026-06-12T20:25:16+05:30,vllm:generation_tokens_total,45505,704,704.000,2026-06-12T20:25:16+05:30,100.000,22217.000,373.690,71.000,55.000,28.440
2026-06-12T20:25:17+05:30,vllm:generation_tokens_total,46337,832,832.000,2026-06-12T20:25:17+05:30,100.000,22217.000,341.200,70.000,58.000,27.839
2026-06-12T20:25:18+05:30,vllm:generation_tokens_total,47161,824,824.000,2026-06-12T20:25:18+05:30,100.000,22217.000,369.270,71.000,51.400,27.830
2026-06-12T20:25:19+05:30,vllm:generation_tokens_total,47961,800,800.000,2026-06-12T20:25:19+05:30,100.000,22217.000,377.770,71.000,55.300,27.889
2026-06-12T20:25:20+05:30,vllm:generation_tokens_total,48713,752,752.000,2026-06-12T20:25:20+05:30,100.000,22217.000,380.160,71.000,48.300,27.886
2026-06-12T20:25:21+05:30,vllm:generation_tokens_total,49425,712,712.000,2026-06-12T20:25:21+05:30,100.000,22217.000,378.680,71.000,44.100,27.808
2026-06-12T20:25:22+05:30,vllm:generation_tokens_total,50273,848,848.000,2026-06-12T20:25:22+05:30,100.000,22217.000,362.230,69.000,45.200,27.843
2026-06-12T20:25:23+05:30,vllm:generation_tokens_total,51089,816,816.000,2026-06-12T20:25:23+05:30,100.000,22217.000,348.520,71.000,44.800,27.821
2026-06-12T20:25:24+05:30,vllm:generation_tokens_total,51897,808,808.000,2026-06-12T20:25:24+05:30,100.000,22217.000,377.440,72.000,54.000,27.961
2026-06-12T20:25:25+05:30,vllm:generation_tokens_total,52673,776,776.000,2026-06-12T20:25:25+05:30,100.000,22217.000,384.130,72.000,52.500,27.993
2026-06-12T20:25:26+05:30,vllm:generation_tokens_total,53353,680,680.000,2026-06-12T20:25:26+05:30,100.000,22217.000,376.790,72.000,49.900,27.996
2026-06-12T20:25:27+05:30,vllm:generation_tokens_total,54217,864,864.000,2026-06-12T20:25:27+05:30,100.000,22217.000,378.740,72.000,50.800,28.001
2026-06-12T20:25:28+05:30,vllm:generation_tokens_total,55049,832,832.000,2026-06-12T20:25:28+05:30,100.000,22217.000,346.440,72.000,49.100,28.041
2026-06-12T20:25:29+05:30,vllm:generation_tokens_total,55849,800,800.000,2026-06-12T20:25:29+05:30,100.000,22217.000,376.010,72.000,57.900,28.051
2026-06-12T20:25:30+05:30,vllm:generation_tokens_total,56601,752,752.000,2026-06-12T20:25:30+05:30,100.000,22217.000,383.510,72.000,54.000,28.029
2026-06-12T20:25:31+05:30,vllm:generation_tokens_total,57337,736,736.000,2026-06-12T20:25:31+05:30,95.000,22217.000,379.810,72.000,49.700,28.008
2026-06-12T20:25:32+05:30,vllm:generation_tokens_total,58065,728,728.000,2026-06-12T20:25:32+05:30,100.000,22217.000,382.860,72.000,49.800,27.984
2026-06-12T20:25:33+05:30,vllm:generation_tokens_total,58889,824,824.000,2026-06-12T20:25:33+05:30,34.000,22217.000,337.230,72.000,53.700,27.984
2026-06-12T20:25:34+05:30,vllm:generation_tokens_total,59705,816,816.000,2026-06-12T20:25:34+05:30,100.000,22217.000,371.420,72.000,58.700,27.934
2026-06-12T20:25:35+05:30,vllm:generation_tokens_total,60481,776,776.000,2026-06-12T20:25:35+05:30,100.000,22217.000,379.890,72.000,51.600,27.894
2026-06-12T20:25:36+05:30,vllm:generation_tokens_total,61241,760,760.000,2026-06-12T20:25:36+05:30,100.000,22217.000,378.750,72.000,50.300,27.839
2026-06-12T20:25:37+05:30,vllm:generation_tokens_total,61889,648,648.000,2026-06-12T20:25:37+05:30,100.000,22217.000,379.140,72.000,65.200,27.927
2026-06-12T20:25:38+05:30,vllm:generation_tokens_total,62721,832,832.000,2026-06-12T20:25:38+05:30,100.000,22217.000,334.330,71.000,57.800,27.976
2026-06-12T20:25:39+05:30,vllm:generation_tokens_total,63545,824,824.000,2026-06-12T20:25:39+05:30,100.000,22217.000,372.340,72.000,58.200,27.883
2026-06-12T20:25:40+05:30,vllm:generation_tokens_total,64313,768,768.000,2026-06-12T20:25:40+05:30,100.000,22217.000,379.270,72.000,55.400,27.905
2026-06-12T20:25:41+05:30,vllm:generation_tokens_total,65065,752,752.000,2026-06-12T20:25:41+05:30,100.000,22217.000,384.160,72.000,55.300,27.958
2026-06-12T20:25:42+05:30,vllm:generation_tokens_total,65769,704,704.000,2026-06-12T20:25:42+05:30,100.000,22217.000,380.990,72.000,53.700,27.985
2026-06-12T20:25:43+05:30,vllm:generation_tokens_total,66633,864,864.000,2026-06-12T20:25:43+05:30,100.000,22217.000,373.960,70.000,55.200,27.894
2026-06-12T20:25:44+05:30,vllm:generation_tokens_total,67449,816,816.000,2026-06-12T20:25:44+05:30,100.000,22217.000,343.570,72.000,59.400,27.842
2026-06-12T20:25:45+05:30,vllm:generation_tokens_total,68257,808,808.000,2026-06-12T20:25:45+05:30,100.000,22217.000,380.160,72.000,55.600,27.856
2026-06-12T20:25:46+05:30,vllm:generation_tokens_total,69017,760,760.000,2026-06-12T20:25:46+05:30,100.000,22217.000,384.170,73.000,58.100,27.850
2026-06-12T20:25:47+05:30,vllm:generation_tokens_total,69632,615,615.000,2026-06-12T20:25:47+05:30,100.000,22217.000,377.070,72.000,52.600,27.753
2026-06-12T20:25:48+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:25:48+05:30,100.000,22217.000,380.570,72.000,44.800,27.848
2026-06-12T20:25:49+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:25:49+05:30,0.000,22217.000,190.310,67.000,49.900,27.858
2026-06-12T20:25:50+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:25:50+05:30,0.000,22217.000,169.420,67.000,49.900,27.826
2026-06-12T20:25:51+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:25:51+05:30,0.000,22217.000,131.150,65.000,56.300,27.811
2026-06-12T20:25:52+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:25:52+05:30,0.000,22217.000,123.220,65.000,51.100,27.812
2026-06-12T20:25:53+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:25:53+05:30,0.000,22217.000,115.520,64.000,52.300,27.801
2026-06-12T20:25:54+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:25:54+05:30,0.000,22217.000,114.630,64.000,52.600,27.841
2026-06-12T20:25:55+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:25:55+05:30,0.000,22217.000,114.110,64.000,51.200,27.843
2026-06-12T20:25:56+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:25:56+05:30,0.000,22217.000,114.310,63.000,56.900,27.806
2026-06-12T20:25:57+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:25:57+05:30,0.000,22217.000,114.070,63.000,51.000,27.876
2026-06-12T20:25:58+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:25:58+05:30,0.000,22217.000,113.750,63.000,55.200,27.813
2026-06-12T20:25:59+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:25:59+05:30,0.000,22217.000,113.320,63.000,58.000,27.815
2026-06-12T20:26:00+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:00+05:30,0.000,22217.000,112.960,62.000,53.600,27.836
2026-06-12T20:26:01+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:01+05:30,0.000,22217.000,112.750,62.000,47.700,27.855
2026-06-12T20:26:02+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:02+05:30,0.000,22217.000,112.620,62.000,51.000,27.939
2026-06-12T20:26:03+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:03+05:30,0.000,22217.000,112.370,62.000,50.200,27.948
2026-06-12T20:26:04+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:04+05:30,0.000,22217.000,112.080,61.000,64.400,27.929
2026-06-12T20:26:05+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:05+05:30,0.000,22217.000,111.820,61.000,59.300,27.919
2026-06-12T20:26:06+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:06+05:30,0.000,22217.000,73.570,59.000,54.600,27.994
2026-06-12T20:26:07+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:07+05:30,0.000,22217.000,28.400,58.000,55.500,28.268
2026-06-12T20:26:08+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:08+05:30,0.000,22217.000,20.190,58.000,49.300,28.310
2026-06-12T20:26:09+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:09+05:30,0.000,22217.000,19.210,58.000,60.300,28.306
2026-06-12T20:26:10+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:10+05:30,0.000,22217.000,19.090,57.000,51.900,28.352
2026-06-12T20:26:11+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:11+05:30,0.000,22217.000,18.760,57.000,54.700,28.366
2026-06-12T20:26:12+05:30,vllm:generation_tokens_total,69632,0,0.000,2026-06-12T20:26:12+05:30,0.000,22217.000,18.480,57.000,40.400,28.425
